,Company,name,Year,Number of Records Affected,Organization Type,Reasons for Breach,Reference Link(s),domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,country_code,latitude,longitude
76,Dedalus Biologie (a division of Dedalus Global),dedalus global,2021,500000.0,['healthcare'],['poor security'],"[['https://www.liberation.fr/checknews/les-informations-confidentielles-de-500-000-patients-francais-derobees-a-des-laboratoires-medicaux-et-diffusees-en-ligne-20210223_VO6W6J6IUVATZD4VOVNDLTDZBU/?redirected=1'], ['https://www.bleepingcomputer.com/news/security/medical-software-firm-fined-15m-for-leaking-data-of-490k-patients/']]",dedalusglobal.com,0.0,international trade and development,1 - 10,"washington, district of columbia, united states",united states,linkedin.com/company/dedalus-global,2.0,2.0,US,187.24.00,-11976.31.00
77,Democratic National Committee,democratic national committee,2016,19252.0,['political'],['hacked'],[['https://www.washingtonpost.com/news/post-politics/wp/2016/07/22/on-eve-of-democratic-convention-wikileaks-releases-thousands-of-documents-about-clinton-the-campaign-and-internal-deliberations/']],democrats.org,1848.0,political organization,501 - 1000,"washington, district of columbia, united states",united states,linkedin.com/company/democratic-national-committee,275.0,2727.0,US,187.24.00,-11976.31.00
78,US Department of Homeland Security,us department of homeland security,2016,30000.0,['government'],['poor security'],"[['https://www.pcmag.com/article2/0,2817,2499013,00.asp'], ['https://www.nytimes.com/2016/02/09/us/hackers-access-employee-records-at-justice-and-homeland-security-depts.html?_r=0']]",dhs.gov,2003.0,government administration,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/us-department-of-homeland-security,18497.0,30571.0,US,187.24.00,-11976.31.00
79,Desjardins,desjardins,2019,9700000.0,['financial'],['inside job'],[['https://www.priv.gc.ca/en/opc-actions-and-decisions/investigations/investigations-into-businesses/2020/pipeda-2020-005/']],desjardins.com,1900.0,banking,10001+,"levis, quebec, canada",canada,linkedin.com/company/desjardins,11370.0,20246.0,CA,2228.46.00,-5885.31.00
80,Domino's Pizza (France),domino's pizza france,2014,600000.0,['web'],['hacked'],[['https://www.theguardian.com/technology/2014/jun/16/dominos-pizza-ransom-hack-data']],dominos.fr,1960.0,restaurants,201 - 500,"gennevilliers, île-de-france, france",france,linkedin.com/company/domino's-pizza-france,148.0,609.0,FR,3839.58.00,3564.29.00
81,DonorView,donorview,2023,948029.0,['charity'],['poor security'],[['https://www.vpnmentor.com/news/report-donorview-breach/']],donorview.com,0.0,computer software,1 - 10,"marlborough, massachusetts, united states",united states,linkedin.com/company/donorview,2.0,3.0,US,187.24.00,-11976.31.00
82,DoorDash,doordash,2019,4900000.0,['web'],['hacked'],[['https://techcrunch.com/2019/09/26/doordash-data-breach/']],doordash.com,2013.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/doordash,971.0,1633.0,US,187.24.00,-11976.31.00
83,UK Driving Standards Agency,driving standards agency,2007,3000000.0,['government'],['lost / stolen'],[['http://news.bbc.co.uk/1/hi/uk_politics/7147715.stm']],0,1990.0,government administration,51 - 200,"nottinghamshire, nottinghamshire, united kingdom",united kingdom,linkedin.com/company/driving-standards-agency,44.0,169.0,GB,6355.51.00,-7269.13.00
84,Dropbox,dropbox,2012,68648009.0,['web'],['hacked'],[['http://www.informationweek.co.uk/security/client/dropbox-admits-hack-adds-more-security-f/']],dropbox.com,2007.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/dropbox,1600.0,2816.0,US,187.24.00,-11976.31.00
85,Drupal,drupal,2013,1000000.0,['web'],['hacked'],[['https://arstechnica.com/security/2013/05/drupal-org-resets-login-credentials-after-hack-exposes-password-data/']],drupalcookbook.ru,0.0,internet,1 - 10,0,other,linkedin.com/company/drupal-cookbook,0.0,3.0,0,0.0,0.0
86,DSW Inc.,dsw,2005,1400000.0,['retail'],['hacked'],[['https://www.nbcnews.com/id/7550562/ns/technology_and_science-security/t/million-exposed-shoe-data-breach/#.WHPXH1MrJUQ']],dswinc.com,1969.0,retail,5001 - 10000,"Columbus, Ohio, United States",united states,linkedin.com/company/dsw,2601.0,9328.0,US,187.24.00,-11976.31.00
87,Dubsmash,dubsmash,2018,162000000.0,['social network'],['hacked'],"[['https://www.securedata.com/blog/dubsmash-accounts-hacked#'], ['https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/']]",dubsmash.com,2014.0,internet,11 - 50,"berlin, berlin, germany",germany,linkedin.com/company/dubsmash,11.0,72.0,DE,2812.31.00,7535.26.00
88,Dun & Bradstreet,dun & bradstreet,2013,1000000.0,['tech'],['hacked'],"[['https://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/'], ['https://www.reuters.com/article/2013/09/26/us-cyberattacks-databrokers-idUSBRE98P']]",dnb.com,1841.0,information services,5001 - 10000,"short hills, new jersey, united states",united states,linkedin.com/company/dun-&-bradstreet,3729.0,16828.0,US,187.24.00,-11976.31.00
89,Duolingo,duolingo,2023,2676696.0,['educational'],['web scraping'],"[['https://www.theverge.com/2013/11/7/5078560/over-150-million-breached-records-from-adobe-hack-surface-online'], ['https://www.bleepingcomputer.com/news/security/scraped-data-of-26-million-duolingo-users-released-on-hacking-forum/']]",duolingo.com,2011.0,e-learning,201 - 500,"pittsburgh, pennsylvania, united states",united states,linkedin.com/company/duolingo,146.0,215.0,US,187.24.00,-11976.31.00
90,"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",earl enterprises,2018,2000000.0,['restaurant'],['hacked'],[['https://www.usatoday.com/story/money/2019/04/01/credit-card-data-breach-hits-buca-di-beppo-planet-hollywood/3335523002/']],earlenterprise.com,0.0,restaurants,51 - 200,"Orlando, Florida, united states",united states,linkedin.com/company/earl-enterprises,59.0,156.0,US,187.24.00,-11976.31.00
91,eBay,ebay,2014,145000000.0,['web'],['hacked'],[['https://www.washingtonpost.com/news/the-switch/wp/2014/05/21/ebay-asks-145-million-users-to-change-passwords-after-data-breach/']],ebayinc.com,1995.0,internet,10001+,"san jose, california, united states",united states,linkedin.com/company/ebay,10115.0,26752.0,US,187.24.00,-11976.31.00
92,Educational Credit Management Corporation,ecmc,2010,3300000.0,['financial'],['lost / stolen'],[['http://www.foxnews.com/us/2010/03/26/student-loan-company-data-m-people-stolen/']],ecmc.org,1994.0,financial services,501 - 1000,"minneapolis, minnesota, united states",united states,linkedin.com/company/ecmc,409.0,803.0,US,187.24.00,-11976.31.00
93,Eisenhower Medical Center,eisenhower medical center,2011,514330.0,['healthcare'],['lost / stolen'],[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html']],0,0.0,hospital & health care,1001 - 5000,"rancho mirage, california, united states",united states,linkedin.com/company/eisenhower-medical-center,949.0,1656.0,US,187.24.00,-11976.31.00
94,ElasticSearch,elastic,2019,108000000.0,['tech'],['poor security'],[['https://www.zdnet.com/article/online-casino-group-leaks-information-on-108-million-bets-including-user-details/']],elastic.co,2012.0,computer software,1001 - 5000,"mountain view, california, united states",united states,linkedin.com/company/elastic-co,585.0,671.0,US,187.24.00,-11976.31.00
95,Embassy Cables,embassy cables,2010,251000.0,['government'],['inside job'],[['https://wikileaks.org/cablegate.html']],0,0.0,0,0,0,other,0,0.0,0.0,0,0.0,0.0
96,"Emergency Healthcare Physicians, Ltd.",emergency healthcare physicians ltd.,2010,180111.0,['healthcare'],['lost / stolen'],"[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html'], ['http://www.healthcareinfosecurity.com/chicago-breach-affects-180000-a-2496']]",0,0.0,medical practice,1 - 10,"Bolingbrook, Illinois, United States",united states,linkedin.com/company/emergency-healthcare-physicians-ltd.,1.0,2.0,US,187.24.00,-11976.31.00
97,Emory Healthcare,emory healthcare,2012,315000.0,['healthcare'],['poor security'],[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html']],wesleywoodsinc.org,0.0,hospital & health care,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/emory-healthcare,5059.0,8625.0,US,187.24.00,-11976.31.00
98,England and Wales Cricket Board,england and wales cricket board limited,2024,43299.0,['government'],['unknown'],[['https://www.thecricketer.com/Topics/grassroots/ecb_issue_warning_to_users_of_online_coaching_platform_following_data_breach.html']],0,0.0,sports,11 - 50,"london, london, united kingdom",united kingdom,linkedin.com/company/england-and-wales-cricket-board-limited,19.0,31.0,GB,6355.51.00,-7269.13.00
99,Equifax,equifax,2017,163119000.0,['financial'],['poor security'],"[['https://www.cnet.com/news/equifax-data-leak-hits-nearly-half-of-the-us-population/'], ['https://www.usatoday.com/story/money/2017/09/14/equifax-identity-theft-hackers-apache-struts/'], ['https://www.forbes.com/sites/leemathews/2017/09/07/equifax-data-breach-impacts-143-million-americans/#6f6ed8d3356f'], ['http://bgr.com/2017/09/08/equifax-hack-lawsuit-class-action-how-to-join/'], ['https://www.natlawreview.com/article/state-and-local-governments-move-swiftly-to-sue-equifax'], ['https://search.proquest.com/docview/2043172601']]",equifax.com,1899.0,financial services,5001 - 10000,"atlanta, georgia, united states",united states,linkedin.com/company/equifax,4415.0,11328.0,US,187.24.00,-11976.31.00
100,EssilorLuxottica,luxottica,2021,77093812.0,['retail'],['hacked'],"[['https://www.bleepingcomputer.com/news/security/luxottica-confirms-2021-data-breach-after-info-of-70m-leaks-online/'], ['https://haveibeenpwned.com/PwnedWebsites']]",luxottica.com,1961.0,apparel & fashion,10001+,"milan, lombardy, italy",italy,linkedin.com/company/luxottica,8804.0,21785.0,IT,1494.14.00,957.38.00
101,Evernote,evernote,2013,50000000.0,['web'],['hacked'],"[['https://www.wired.co.uk/news/archive/2013-03/04/evernote-hacked'], ['http://www.digitaltrends.com/mobile/evernote-hack-50-million-users-forced-to-reset-passwords/']]",evernote.com,2006.0,computer software,501 - 1000,"redwood city, california, united states",united states,linkedin.com/company/evernote,332.0,818.0,US,187.24.00,-11976.31.00
102,Evide data breach,evide,2023,1000.0,['web'],['hacked'],"[['https://www.irishexaminer.com/news/arid-41118247.html'], ['https://www.irishexaminer.com/news/arid-41118562.html'], ['https://www.bbc.com/news/uk-northern-ireland-65297324'], ['https://www.thejournal.ie/investigation-cyber-attack-ireland-charities-6045882-Apr2023/'], ['https://www.irishtimes.com/crime-law/2023/04/17/sex-abuse-survivors-charity-one-in-four-victim-of-data-breach/']]",evide.org.uk,2015.0,computer software,1 - 10,"londonderry, derry, united kingdom",united kingdom,linkedin.com/company/evide,3.0,4.0,GB,6355.51.00,-7269.13.00
103,Exactis,exactis,2018,340000000.0,['data broker'],['poor security'],[['https://www.wired.com/story/exactis-database-leak-340-million-records/']],exactis.com,2015.0,information technology and services,11 - 50,"orlando, florida, united states",united states,linkedin.com/company/exactis-llc,8.0,11.0,US,187.24.00,-11976.31.00
104,Excellus BlueCross BlueShield,excellus bluecross blueshield,2015,10000000.0,['healthcare'],['hacked'],[['https://www.usatoday.com/story/tech/2015/09/10/cyber-breach-hackers-excellus-blue-cross-blue-shield/72018150/']],0,0.0,graphic design,11 - 50,"oneonta, new york, united states",united states,linkedin.com/company/excellus-bluecross-blueshield,6.0,15.0,US,187.24.00,-11976.31.00
105,Experian - T-Mobile US,t-mobile,2015,15000000.0,['telecoms'],['hacked'],"[['https://www.huffingtonpost.com/entry/experian-hacked-tmobile_us_560e0d30e4b0af3706e0481e'], ['http://fortune.com/2015/10/01/experian-data-breach-tmobile/']]",tmobile.com,2002.0,telecommunications,10001+,"bellevue, washington, united states",united states,linkedin.com/company/t-mobile,30100.0,71654.0,US,187.24.00,-11976.31.00
106,Facebook,facebook,2013,6000000.0,['social network'],['accidental'],[['https://packetstormsecurity.com/news/view/22713/Facebook-Where-Your-Friends-Are-Your-Worst-Enemies.html']],facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,US,187.24.00,-11976.31.00
107,Facebook,facebook,2018,50000000.0,['social network'],['poor security'],"[['https://social.techcrunch.com/2018/09/28/everything-you-need-to-know-about-facebooks-data-breach-affecting-50m-users/'], ['https://www.wired.com/story/facebook-security-breach-50-million-accounts/'], ['https://www.vox.com/2018/9/28/17914598/facebook-new-hack-data-breach-50-million'], ['https://www.cnbc.com/video/2018/09/28/zuckerberg-says-facebook-working-with-fbi-to-investigate-security-breach.html'], ['https://www.nytimes.com/2018/09/28/technology/facebook-hack-data-breach.html'], ['https://www.theguardian.com/technology/2018/sep/28/facebook-50-million-user-accounts-security-berach'], ['https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election', 'https://web.archive.org/web/20180318001541/https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election']]",facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,US,187.24.00,-11976.31.00
108,Facebook,facebook,2019,540000000.0,['social network'],['poor security'],"[['https://www.cbsnews.com/news/millions-facebook-user-records-exposed-amazon-cloud-server/'], ['https://www.engadget.com/facebook-533-million-user-personal-data-leak-180156777.html']]",facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,US,187.24.00,-11976.31.00
109,Facebook,facebook,2019,1500000.0,['social network'],['accidental'],[['https://www.businessinsider.com/facebook-uploaded-1-5-million-users-email-contacts-without-permission-2019-4']],facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,US,187.24.00,-11976.31.00
110,Facebook,facebook,2019,267000000.0,['social network'],['poor security'],"[['https://www.cnet.com/news/millions-of-facebook-user-phone-numbers-exposed-online-security-researchers-say/'], ['https://newyork.cbslocal.com/2019/12/20/facebook-dark-web-data-breach/']]",facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,US,187.24.00,-11976.31.00
111,Facebook Marketplace,facebook,2023,200000.0,['social network'],['unknown'],[['https://www.bleepingcomputer.com/news/security/200-000-facebook-marketplace-user-records-leaked-on-hacking-forum/']],facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,US,187.24.00,-11976.31.00
112,Fast Retailing,fast retailing,2019,461091.0,['retail'],['hacked'],[['https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%BC%8F%E6%B4%A9#主な個人情報漏洩事件#2019年']],fastretailing.com,1949.0,retail,1001 - 5000,"tokyo, tokyo, japan",japan,linkedin.com/company/fast-retailing,528.0,1235.0,JP,3449.44.00,4353.24.00
113,Federal Reserve Bank of Cleveland,federal reserve bank of cleveland,2010,400000.0,['financial'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],clevelandfed.org,1914.0,banking,1001 - 5000,"cleveland, ohio, united states",united states,linkedin.com/company/federal-reserve-bank-of-cleveland,575.0,1261.0,US,187.24.00,-11976.31.00
114,Fidelity National Information Services,fidelity national title,2007,8500000.0,['financial'],['inside job'],[['http://www.pcworld.com/article/135117/article.html']],fntic.com,0.0,real estate,5001 - 10000,"Chicago, Illinois, United States",united states,linkedin.com/company/fidelity-national-title,2695.0,5401.0,US,187.24.00,-11976.31.00
115,First American Corporation,first american corporation,2019,885000000.0,['financial'],['poor security'],[['https://gizmodo.com/885-million-sensitive-records-leaked-online-bank-trans-1835016235']],0,0.0,computer software,1 - 10,"san antonio, texas, united states",united states,linkedin.com/company/first-american-corporation,0.0,5.0,US,187.24.00,-11976.31.00
116,Florida Department of Juvenile Justice,florida department of juvenile justice,2013,100000.0,['government'],['lost / stolen'],[['http://www.privacyrights.org/data-breach']],0,0.0,accounting,501 - 1000,"tampa, florida, united states",united states,linkedin.com/company/florida-department-of-juvenile-justice,272.0,668.0,US,187.24.00,-11976.31.00
117,Friend Finder Networks,"friend finder networks, inc.",2016,412214295.0,['web'],['poor security'],"[['https://www.theverge.com/2016/11/13/13615750/412-million-adultfriendfinder-accounts-exposed-breach'], ['https://www.zdnet.com/article/adultfriendfinder-network-hack-exposes-secrets-of-412-million-users/']]",fastracprinting.com,0.0,automotive,11 - 50,"Delray Beach, Florida, united states",united states,linkedin.com/company/friend-finder-networks-inc.,11.0,34.0,US,187.24.00,-11976.31.00
118,Funimation,funimation productions ltd,2016,2500000.0,['web'],['hacked'],"[['https://www.animenewsnetwork.com/news/2017-02-22/report-2.5-million-funimation-accounts-compromised-in-data-breach/.112538'], ['https://hacknotice.com/2016/12/22/funimation-com/']]",0,0.0,animation,1 - 10,"decatur, texas, united states",united states,linkedin.com/company/funimation-productions-ltd,3.0,5.0,US,187.24.00,-11976.31.00
119,Formspring,spring.me,2012,420000.0,['web'],['accidental'],[['http://news.cnet.com/9944-83/formspring-disables-user-passwords-in-security-breach/?tag=mncol;txt']],spring.me,2013.0,internet,1 - 10,"sydney, new south wales, australia",australia,linkedin.com/company/spring-me,0.0,19.0,AU,-4598.18.00,13051.56.00
120,Personal and demographic data about residents and their properties of us,us government,2020,201000000.0,['government'],['poor security'],[['https://www.comparitech.com/fr/blog/vpn-privacy/200-million-us-database-leaked/']],0,0.0,accounting,1001 - 5000,0,other,linkedin.com/company/unknown-nl,589.0,615.0,0,0.0,0.0
121,Gamigo,gamigo ag,2012,8000000.0,['gaming'],['hacked'],[['https://www.forbes.com/sites/andygreenberg/2012/07/23/eight-million-passwords-spilled-from-gaming-site-gamigo-months-after-breach/']],gamigo.com,2000.0,computer games,51 - 200,"hamburg, hamburg, germany",germany,linkedin.com/company/gamigo-ag,64.0,239.0,DE,2812.31.00,7535.26.00
122,Gap Inc.,gap inc.,2007,800000.0,['retail'],['lost / stolen'],"[['http://www.pcworld.com/article/137865/article.html'], ['http://www.privacyrights.org/data-breach']]",gapinc.com,1969.0,retail,10001+,"san francisco, california, united states",united states,linkedin.com/company/gap-inc-,8610.0,41628.0,US,187.24.00,-11976.31.00
123,Gawker,gawker media,2010,1500000.0,['entertainment'],['hacked'],"[['https://www.theguardian.com/technology/2010/dec/13/gawker-hackers-passwords-twitter-wikileaks?INTCMP=SRCH'], ['http://www.mediaite.com/online/gawker-medias-entire-commenter-database-appears-to-have-been-hacked/']]",gawker.com,2002.0,online media,51 - 200,"new york, new york, united states",united states,linkedin.com/company/gawker-media,70.0,651.0,US,187.24.00,-11976.31.00
124,Global Payments,global payments,2012,7000000.0,['financial'],['hacked'],[['https://www.washingtonpost.com/business/technology/faq-the-global-payments-hack/2012/04/02/gIQAIHLLrS_story.html']],globalpaymentsinc.com,1967.0,financial services,1001 - 5000,"atlanta, georgia, united states",united states,linkedin.com/company/global-payments,1765.0,3982.0,US,187.24.00,-11976.31.00
125,Gmail,gmail,2014,5000000.0,['web'],['hacked'],[['https://thenextweb.com/google/2014/09/10/4-93-million-gmail-usernames-passwords-published-google-says-evidence-systems-compromised/']],0,0.0,retail,51 - 200,"mountain view, california, united states",united states,linkedin.com/company/modern-machine-tools,20.0,21.0,US,187.24.00,-11976.31.00
126,Google Plus,google,2018,500000.0,['social network'],['poor security'],"[['https://arstechnica.com/tech-policy/2018/10/google-exposed-non-public-data-for-500k-users-then-kept-it-quiet//'], ['https://www.nytimes.com/2018/10/08/technology/google-plus-security-disclosure.html'], ['https://www.theverge.com/2018/10/8/17951890/google-plus-shut-down-security-api-change-gmail-android'], ['https://www.theguardian.com/technology/2018/oct/08/google-plus-security-breach-wall-street-journal']]",google.com,1998.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/google,75109.0,131349.0,US,187.24.00,-11976.31.00
127,goregrish.com,goregrish.com,2021,300000.0,['web'],['hacked'],[['https://goregrish.com/threads/issue-resulting-from-the-recent-ddos.80236/']],0,0.0,0,0,0,other,0,0.0,0.0,0,0.0,0.0
128,Greek government,greek government,2012,9000000.0,['government'],['hacked'],[['https://www.wired.co.uk/news/archive/2012-11/22/greece-id-theft']],0,0.0,0,0,0,greece,0,0.0,0.0,GR,1275.48.00,13759.32.00
129,Grozio Chirurgija,grožio chirurgija clinic,2017,25000.0,['healthcare'],['hacked'],"[['https://www.theguardian.com/technology/2017/may/31/hackers-publish-private-photos-cosmetic-surgery-clinic-bitcoin-ransom-payments'], ['http://www.seattletimes.com/nation-world/plastic-surgery-clinics-hacked-25000-photos-data-online/'], ['https://web.archive.org/web/20170531124102/http://abcnews.go.com/Technology/wireStory/plastic-surgery-clinics-hacked-25000-photos-data-online-47728631', 'https://abcnews.go.com/Technology/wireStory/plastic-surgery-clinics-hacked-25000-photos-data-online-47728631']]",surgeryabroad.eu,2009.0,hospital & health care,11 - 50,"kaunas, kauno apskritis, lithuania",lithuania,linkedin.com/company/gro-io-chirurgija,5.0,10.0,LT,2878.58.00,14710.55.00
130,GS Caltex,gs caltex,2008,11100000.0,['energy'],['inside job'],"[['https://stratigossecurity.com/tag/gs-caltex/'], ['https://www.comparebusinessproducts.com/fyi/15-most-massive-data-breaches-history']]",gscaltex.com,1967.0,oil & energy,501 - 1000,0,south korea,linkedin.com/company/gs-caltex,229.0,397.0,KR,15164.17.00,12909.02.00
131,Hannaford Brothers Supermarket Chain,hannaford brothers co,2007,4200000.0,['retail'],['hacked'],[['http://www.networkworld.com/article/2284998/lan-wan/details-emerging-on-hannaford-data-breach.html']],0,0.0,computer software,11 - 50,"bangor, maine, united states",united states,linkedin.com/company/hannaford-brothers-co,6.0,17.0,US,187.24.00,-11976.31.00
132,HauteLook,"nordstromrack.com | hautelook, a nordstrom company",2018,28517244.0,['retail'],['hacked'],"[['https://blog.weleakinfo.com/hautelook-com/'], ['https://www.theregister.com/2019/02/11/620_million_hacked_accounts_dark_web/'], ['https://twitter.com/haveibeenpwned/status/1108852166880423937']]",0,2007.0,internet,1001 - 5000,"los angeles, california, united states",united states,linkedin.com/company/hautelook,605.0,1735.0,US,187.24.00,-11976.31.00
133,Health Net,health net,2009,500000.0,['healthcare'],['lost / stolen'],[['http://www.databreachtoday.com/health-net-fined-second-time-for-breach-a-3081']],healthnet.com,0.0,insurance,5001 - 10000,"woodland hills, california, united states",united states,linkedin.com/company/health-net,3276.0,8106.0,US,187.24.00,-11976.31.00
134,HCA Healthcare,columbia hca healthcare,2023,11270000.0,['healthcare'],['hacked'],[['https://hcahealthcare.com/about/privacy-update.dot']],0,0.0,hospital & health care,1 - 10,"new orleans, louisiana, united states",united states,linkedin.com/company/columbia-hca-healthcare,3.0,38.0,US,187.24.00,-11976.31.00
135,Health Net — IBM,ibm,2011,1900000.0,['healthcare'],['lost / stolen'],[['http://healthleadersmedia.com/page-1/COM-263662/CA-Investigating-Latest-Health-Net-Data-Breach##']],ibm.com,1911.0,information technology and services,10001+,"new york, new york, united states",united states,linkedin.com/company/ibm,274047.0,716906.0,US,187.24.00,-11976.31.00
136,Health Sciences Authority (Singapore),health sciences authority,2019,808000.0,['healthcare'],['poor security'],[['https://www.todayonline.com/singapore/personal-data-808000-blood-donors-compromised-nine-weeks-hsa-lodges-police-report']],hsa.gov.sg,2001.0,public safety,501 - 1000,0,singapore,linkedin.com/company/health-sciences-authority,221.0,506.0,SG,5869.03.00,13766.56.00
137,Heartland Payment Systems,heartland payment systems,2009,130000000.0,['financial'],['hacked'],"[['https://www.theguardian.com/technology/blog/2009/aug/24/hacking-law?INTCMP=SRCH'], ['https://money.cnn.com/2012/03/30/technology/credit-card-data-breach/index.htm'], ['http://www.2008breach.com/Information20090120.asp', 'https://web.archive.org/web/20090127041550/http://2008breach.com/Information20090120.asp'], ['https://wayback.archive-it.org/all/20110403072859/http://www.businessweek.com/technology/content/jul2009/tc2009076_891369.htm', 'http://www.businessweek.com/technology/content/jul2009/tc2009076_891369.htm']]",heartlandpaymentsystems.com,1997.0,financial services,5001 - 10000,"princeton, new jersey, united states",united states,linkedin.com/company/heartland-payment-systems,2681.0,5544.0,US,187.24.00,-11976.31.00
138,Hewlett Packard,hewlett packard,2006,200000.0,['tech'],['lost / stolen'],[['http://news.cnet.com/Laptop-with-HP-employee-data-stolen/964.html']],0,0.0,information technology and services,201 - 500,"Palo Alto, California, United States",united states,linkedin.com/company/hp-financial-services,124.0,630.0,US,187.24.00,-11976.31.00
139,Hilton Hotels,hilton hotels,2014,363000.0,['hospitality'],['hacked'],"[['http://fortune.com/2015/11/25/hilton-data-breach/'], ['https://www.reuters.com/article/us-hilton-wrldwide-settlement/hilton-to-pay-700000-over-credit-card-data-breaches-idUSKBN1D02L3']]",0,0.0,hospitality,501 - 1000,"McLean, Virginia, United States",united states,linkedin.com/company/hilton-hotels,180.0,435.0,US,187.24.00,-11976.31.00
140,Home Depot,home depot,2014,56000000.0,['retail'],['hacked'],"[['http://krebsonsecurity.com/2014/09/banks-credit-card-breach-at-home-depot/'], ['https://money.cnn.com/2014/09/18/technology/security/home-depot-hack/']]",0,0.0,construction,10001+,"Atlanta, Georgia, United States",united states,linkedin.com/company/home-depot-at-home-services,9756.0,19207.0,US,187.24.00,-11976.31.00
141,Honda Canada,honda canada,2011,283000.0,['retail'],['poor security'],[['http://www.guelphmercury.com/news-story/2200845-honda-canada-hit-by-online-security-breach-283-000-car-owners-personal-data-stolen/']],0,0.0,food production,11 - 50,"bend, oregon, united states",united states,linkedin.com/company/honda-canada,9.0,23.0,US,187.24.00,-11976.31.00
142,Iberdrola,iberdrola,2022,1300000.0,['energy'],['poor security'],[['https://www.theolivepress.es/spain-news/2022/03/31/power-company-iberdrola-admits-personal-details-of-1-3-million-customers-in-spain-were-hacked/']],iberdrola.es,1840.0,oil & energy,5001 - 10000,"bilbao, biscay, spain",spain,linkedin.com/company/iberdrola,2971.0,6713.0,ES,7767.47.00,-1251.42.00
143,Instagram,instagram,2020,200000000.0,['social network'],['poor security'],[['https://www.forbes.com/sites/daveywinder/2020/08/19/massive-data-leak235-million-instagram-tiktok-and-youtube-user-profiles-exposed/']],instagram.com,2010.0,computer software,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/instagram,1937.0,2373.0,US,187.24.00,-11976.31.00
144,Internal Revenue Service,internal revenue service,2015,720000.0,['financial'],['hacked'],"[['https://abcnews.go.com/Politics/irs-thieves-stolen-info-220000-additional-tax-accounts/story?id=33140918'], ['https://money.cnn.com/2016/02/26/technology/irs-data-theft/']]",irs-research.com,2010.0,market research,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/irs,7119.0,17442.0,US,187.24.00,-11976.31.00
145,International Committee of the Red Cross,international committee of the red cross - icrc,2022,515000.0,['humanitarian'],['unknown'],"[['https://www.thejournal.ie/red-cross-cyber-attack-hacked-5659878-Jan2022/'], ['https://www.siliconrepublic.com/enterprise/red-cross-cyberattack-switzerland-icrc'], ['https://www.theregister.com/2022/01/20/red_cross_hit_by_cyberattack/']]",icrc.org,1863.0,non-profit organization management,10001+,"geneva, geneva, switzerland",switzerland,linkedin.com/company/icrc,4713.0,9642.0,CH,13682.28.00,3799.52.00
146,Inuvik hospital,the town of inuvik,2016,6700.0,['healthcare'],['inside job'],[['http://www.cbc.ca/news/canada/north/patient-records-possible-breach-1.3435311']],inuvik.ca,0.0,government administration,1 - 10,"inuvik, northwest territories, canada",canada,linkedin.com/company/the-town-of-inuvik,4.0,8.0,CA,2228.46.00,-5885.31.00
147,"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",saderat bank,2012,3000000.0,['financial'],['hacked'],[['https://www.zdnet.com/blog/security/3-million-bank-accounts-hacked-in-iran/11577']],0,0.0,computer software,51 - 200,"isfahan, isfahan, iran",iran,linkedin.com/company/saderat-bank,39.0,42.0,IR,7163.48.00,11520.26.00
